"
                    2013-12-05
                ",陀螺凡达可,迪斯尼首次让出柜演员为男主配音，并通过故事向同志青少年及其家人传达出认同和出柜的积极信息，对真爱的重新定义与女权向也是自我突破。不墨守陈规也不刻意讨好成年观众，用最迪斯尼的公主童话满足全年龄受众。百老汇级别歌舞戏大赞。Elsa是首个没遇到王子的迪斯尼公主，Let It Go是出柜之歌#想太多#
"
                    2013-11-27
                ",香槟塔,somebody is worth melting for.迪斯尼的动画片又一次的超越。当真爱的举动不再局限于真爱之吻。迪斯尼的公主已经不是命运的无辜的受害者。
"
                    2013-12-08
                ",小斑,pixar看到没有！这才叫「女性向动画片」。在主题设定上可解读性深了很多——「坦陈秘密获得自由」和「家人的爱融化冰雪」——成年观众完全可以作出自己的解读。除了祭出「歌唱必杀技」之外，在「真爱」这个项目上Disney终于突破自我。北欧风情还有在儿童向动画中颇反转的诡计。开头的短片加分。
"
                    2014-01-15
                ",Wendy,一对百合一对兽人，专注黑王子一百年！
"
                    2013-12-25
                ",É,论世俗偏见对于同志自我认知及出柜的影响。
"
                    2013-12-08
                ",费德里科维奇,迪士尼总能在俗套和惊喜中迎刃有余，于我好于破坏王好于原始人，开头妹妹一个人在城堡里唱唱跳跳眼眶竟然有热泪划过，勇敢依旧是近几年的命题，最有笑点的动画不同于小黄人的卖萌趋势，没有刻意煽情太加分。The happiest snowman is worth melting for！
"
                    2014-01-13
                ",CharlesChou,比去年《勇敢传说》不知道动人多少倍，虽然故事非常简单但还是有加分的小反转和非常好听的音乐。再就是....Blue is the warmest color，你们懂的...
"
                    2014-01-08
                ",亵渎电影,秉承迪士尼动画的优良传统，它的歌曲实在太棒了，偶尔让人想起去年的【悲惨世界】，因为歌曲和叙事完美的融合吧。虽然这依旧是一个关于爱的故事，但最后的故事处理还是有点出人意料，比预想中的俗套有趣的多，这一改变也让电影的主题变得更加温暖。亲情最大与接受真我，难怪被指很gay呢。★★★★
"
                    2013-11-11
                ",爱幻想的小孩,近些年看过最好的迪士尼动画片。纵然有很多部影片的影子，但是拥有很独特视角，聚焦于姐妹情，而不是传统的王子公主幸福地在一起。人物刻画深刻，所有人都有多维不单一的性格，引入两个女性主角也是前所未有的。音乐绝对是百老汇级别的，并且是storytelling的完整组成部分，不是为了唱而唱。精彩至极！
"
                    2014-01-10
                ",weird cat,革命般的男权主导童话的批判。终于给了不花痴王子和公主一见钟情的爱情故事的正常女性一种可以放松欣赏影片的实际代入。看完有一种归属感。突然觉得适合女性看的东西实在是太少了，无论是大众的游戏还是故事，也许有一天也有一种不需言说的自然，让女性也有可以从小就有可以带入的角色慢慢成长。
"
                    2013-12-07
                ",Steamed Punk,结局过分轻描淡写，前面累积起来的情绪突然都泄了气。。感觉真的好可惜不然完全有资格做2010年来最优秀的好莱坞动画长片。。。P.S.故事的中心思想其实是千万不要闪婚【完全不对
"
                    2014-01-23
                ",何平,今日图片新闻：南屿国王室幺子骗婚真相遭败露。安瑞戴尔王室双姝惊爆同性乱伦丑闻。今日知音热线：他为何自青春期起就迷恋胡萝卜与驯鹿。
"
                    2013-11-30
                ",Secondstar2TR,我不知道是每个人看都有还是只有我们电影院有前面那段米老鼠的？ 前面那段棒死了！  ！ 特效我看着也特别的美！！最后女主冻成了草原英雄小姐妹即视感－－
"
                    2014-01-27
                ",陆秋槎,如果姐妹吻了的话就是五星了。
"
                    2014-02-07
                ",叶扬 | 独眼,女建筑师的孤独
"
                    2014-01-25
                ",艾小柯,故事新颖有亮点，姐姐成为冰雪女王建立新世界的独唱激动人心，小雪人对夏天的向往纯情而忧伤。缺点在对反面人物的设置上还是过于简单粗暴了，王子没必要是个坏人才能打破“一见钟情”的谎言。
"
                    2014-01-31
                ",Amushi,1.5
"
                    2014-01-18
                ",decidels,两个女主没亲上去真是太对不起观众了···
"
                    2014-02-07
                ",桃桃林林,这个珍妮弗·李就做了两部动画，分别是《无敌破坏王》和这部。《冰雪奇缘》也算是在传统迪士尼公主电影上做突破，毕竟最后的真爱是…… 音乐成为主要加分元素，几场冰雪的场面也很过瘾。属于发挥很正常的动画，该有的都有，爱情、冒险，讲笑话的配角。
"
                    2013-12-30
                ",米粒,竟然是部纯粹的歌舞片（就是白头发皇后声音尖了点），跟剧情结合得还不错，已经能想象到它以后被搬到百老汇舞台上的样子了。跟以往迪士尼的王子公主模式不同的是它告诉小盆友们“真爱”的定义更宽，但更多的还是跟以往的迪士尼一样难免出现各种恶俗段落和设定= = 好吧，我还是更喜欢怪兽大学。
"
                    2014-01-12
                ",kakakarl,冰雪公主自己做城堡的地方美翻，姐妹百合情深真爱并不一定是爱情，驯鹿少年从小遇见其实是命中注定，雪人能在夏天生活实现自己的梦想，let it go魔音绕耳朗朗上口……这部片子让我产生了幸福感！
"
                    2014-02-07
                ",匡匡,结尾处的翻转太生硬了。要完成各种意义上的解构，也不一定非让王子一抹脸一亮獠牙，瞬间变坏人吧？一部片子里就非得有个脸谱化的坏人角色麽？塑造一个“爱情不在人情在”，能够尊重女性，尊重对方的选择，优雅转身，大方洒脱的正直男性形象，更符合时代精神，也更符合爱情真谛。
"
                    2014-01-27
                ",鹿鸣之什,拯救公主的不是王子的爱情之吻，而是女王姐姐的亲情拥抱，当然最后公主和穷小子依然相吻了。姐妹百合挺令人浮想联翩，我也乐得接受迪斯尼的开放暗示。Elsa的能力很有点“同志隐喻”，从小被要求隐藏，长大后被众人当成怪物，自己也活在恐惧之中。Let it go是自我解放的出柜之歌，骄傲于“我就是我”。
"
                    2013-11-30
                ",GarethL,迪斯尼去年年底是无敌破坏王，今年是冰雪大冒险...原来到最后是个百合片，全片音乐太精彩，从开头的劳动号子到主体旋律无不是值得下OST的...冰雪魔法效果非常赞...故事也至少不是俗套的王子公主（都说了是百合）...强推
