"
                    2009-03-11
                ",影志,太有爱了！皮克斯应该拍一部《配角总动员》！
"
                    2012-09-30
                ",ｈ,除了皮克斯还有谁能把两个电子眼做的表情如此逼真 看到波力用自己的手烫四叶草心都碎了w
"
                    2008-11-28
                ",战国客,员工典范~~
"
                    2009-05-19
                ",大头绿豆,虽然是老桥段，但真叫人开心。
"
                    2011-12-28
                ",陀螺凡达可,太！可！爱！了！
"
                    2009-05-19
                ",暖鱼,主角之后的龙套故事，每个人都有故事。。
"
                    2012-04-23
                ",★☆☆☆☆,5分钟版和7分钟版的区别：5分钟版只有波力的单方面视角，7分钟版则揭示了波力倒霉的真相（一切当然就是挨千刀的男女主角和BOSS所造成的了……）。主角和BOSS经过了轰轰烈烈的战斗，但波力却只是度了倒霉而平淡的一天，所有的冒险和欢乐都与这个小人物无关，这就是无数电影中被观众忽视掉的龙套生活……
"
                    2008-12-03
                ",熊阿姨,lovely
"
                    2009-01-05
                ",草威,他的眼里有光芒万丈
"
                    2008-12-10
                ",老阿飞—故园,幽默不忘细节，俗套确有效果
"
                    2018-11-17
                ",莫戥衘,他就是《小王子》里那个天黑点灯天亮熄灯的人啊。QAQ
"
                    2010-05-25
                ",倾蕙宁,忒倒霉了。
"
                    2009-02-04
                ",石中剑,2.4
"
                    2012-06-15
                ",twotwo,一 波 三 折 的 儿 童 片
"
                    2020-03-20
                ",生人回避,看惯了大作的各种独立番外，这部《BURN-E》可不简单！不仅在7分钟内浓缩三次反转，而且还与主故事线兼顾，笑点和细节满满，动画大作最佳番外无疑了！
"
                    2011-08-24
                ",柴犬妹妹,好理解！！！！！！！！！
"
                    2011-08-04
                ",Panda的阴影,可怜的波利！！！—— 没想到，今天，2014年4月18日，因为你，成为我第一次在大屏幕上看到“瓦力”的时间，让我提前兴奋了一下！明天，2014年4月19日，终于可以在大屏幕上见证【瓦力和伊芙】的爱情了！迫不及待的激动！！—— 每个“机器人”都有自己的故事，这个动画短片让我想起了《狮子王1½》。
"
                    2009-03-15
                ",SUN,它是打酱油的
"
                    2008-12-03
                ",莫沂,生命不能承受之衰……
"
                    2010-09-19
                ",茕茕白兔,我是打酱油的 ^_^
"
                    2008-12-08
                ",可可肚子,我的快乐建立在它的痛苦上啊哈哈XD
"
                    2010-03-21
                ",找凹的凸,哈哈哈！！！
"
                    2009-02-19
                ",prost,好逗~
"
                    2012-07-07
                ",一條魚佔滿了河,相對於其他幾部皮克斯動畫長片的番外短片均是以原有角色為主角，這部短片是創造了一個全新角色，以《WALL·E》太空階段故事的平行敘述來表現一個盡職盡責且略顯偏執的可愛機器人形象，同時短片的節奏控制得恰到好處，不是夢工廠式無腦誇張惹人爆笑，而是如紳士一般的冷幽默令人會心一笑。
"
                    2009-05-22
                ",Qishu,哈哈，可怜的，摸摸头。
"
                    2012-07-16
                ",尔黑我！,《瓦力》中小家伙的番外篇。 
"
                    2008-12-20
                ",Sally?imdb9?9,好跟M-O比卖萌了
"
                    2008-11-29
                ",乐小样,和walle呼应的话还是有点意思。。。独立出来就有点无聊了
"
                    2009-05-30
                ",Charlene,没看懂。太短了。远比不上walle
"
                    2008-12-09
                ",文泽尔,倒霉鬼焊接机器人..不觉得皮克斯的水准有多高..算是从另一线领出了瓦力中出现的故事，可说是彩蛋了吧..
"
                    2010-09-03
                ",@花皮球@,很有爱
"
                    2009-01-11
                ",Ridden,http://www.mtime.com/movie/52952/trailer/14790.html
"
                    2012-12-24
                ",生·人,没错，我就是那个打酱油的——以个人的姿态路过历史 ；无数伟大的配角和龙套的血泪史告诉我们，遭遇主角的下场，都好不了。
"
                    2010-12-30
                ",八月微光,皮克斯，经典！
"
                    2009-09-07
                ",煮竹,太可爱了 小小电焊工 那个BOSS给了三次灯管的态度跟人类的屌态如出一辙 好好玩的好职工~
"
                    2010-12-04
                ",彩虹几度,深空机器萌~
"
                    2009-11-25
                ",★冰凌宫★,这小片子也挺有意思的，希望如果有续集，它也能有些戏份！
"
                    2009-01-01
                ",Song³,为什么不出M-O
"
                    2008-12-13
                ",学习拍照的老王,其实这个短片比较一般吧~~
"
                    2013-01-27
                ",小小,有没有人和我一样想起大话西游了。
"
                    2009-05-02
                ",Sodayui,可怜的小家伙~
"
                    2009-04-25
                ",锡罐头,噱头而已
"
                    2009-04-13
                ",长个儿,可怜的娃
"
                    2009-07-10
                ",sēxteen,呵呵
"
                    2009-08-27
                ",FujiwaraTakumi,卡哇伊。
"
                    2009-03-25
                ",虹口一条龙,皮克斯的人都是天才！顶礼膜拜~
"
                    2008-12-04
                ",麦小白,好喜欢这个机器人啊 貌似傻傻的荧幕形象都能激发我的喜感。
"
                    2010-11-19
                ",伊蒂克,超可爱~
"
                    2009-08-13
                ",多多,可惜只有7分钟。
"
                    2008-12-17
                ",麓人,这么倒霉的机器人，不多见
"
                    2009-09-26
                ",北地之北, = = 可怜的电焊工··
"
                    2008-11-23
                ",皮革业,太辛酸了
"
                    2009-05-21
                ",Ghost,倒霉孩子
"
                    2009-08-26
                ",海的橙,没太看明白
"
                    2009-01-17
                ",[已注销],为什么这些机器人这么可爱呢
"
                    2009-02-01
                ",littletwo,介不奏是传说中那个打酱油的嘛
"
                    2009-02-19
                ",旭,现在我心中只有小mo
"
                    2009-10-13
                ",二表兄,聊胜于无。
"
                    2009-01-06
                ",梅威斯,太可爱了!
"
                    2012-05-22
                ",Amazing lisa！,好欢乐~~
"
                    2012-01-23
                ",madaoooo,哈哈，好萌的小机器人，第二次回去拿天线的时候简直就是犯错的小学生的模样啊~
"
                    2010-07-21
                ",羽族优伶,可怜的小家伙~
