"
                    2011-05-18
                ",白发生,既为举世公认之经典，必有高深奥妙之内涵。若觉难以理解，不妨从自身找找原因。对超出自我认知水平的事物极端排斥已属不智，再加以肆意的诋毁和谩骂只会将无知与庸俗进一步放大。更有甚者分明是哗众取宠，名为鄙视随波逐流，实则借机标新立异，以此彰显自己是如何的与众不同。实乃跳梁小丑，贻笑大方。
"
                    2008-07-14
                ",地富反坏右,"首先你得忍者看完第一遍,觉得不知道在说什么;看了第二遍,觉得好像有点意思;看第三遍,知道原来这个电影讲述的是多个主题啊,看第四遍,觉得好像看懂了点什么;看了第五遍,啊,真他妈太牛了!这可是1968年的东西!"
"
                    2009-01-23
                ",单线程青年,"现在这个年代没人敢如此玩观众了。
"
"
                    2007-12-08
                ",彦夕,原作作者克拉克：“如果有人觉得完全弄懂了《太空漫游2001》在讲些什么，那一定是我和库布里克弄错了。”
"
                    2008-02-29
                ",思阳,这部片子有三个特征：1）看不懂 2）无数的符号 3）必须熟读尼采 4）六十年代能够做出这样的特效真的是惊天动地 
"
                    2011-12-10
                ",周冲,不好意思，看不懂
"
                    2009-12-21
                ",Kuba,这部是唯一一出让我彻底游离出剧情，却始终带着浓厚兴趣看完的电影，我相信库布里克偏执的工作态度操死了一批又一批特效制作人员
"
                    2013-11-09
                ",影志,李安评价自己最爱5部电影之一时说： “我非常崇拜库布里克，关于《2001太空漫游》我无法说清它究竟是一部怎样的电影，我当年第一次看这部影片时，它深深地吸引了我，那种感觉就像吃了迷幻药之后的幻觉经历。” 今天在资料馆大银幕体验，修复版让这种幻觉变本加厉，渗入到每一根神经。
"
                    2009-12-19
                ",袁牧,这不是照着剧本拍的，而是曲谱
"
                    2009-12-15
                ",Arch-Murder,相当牛逼。又闷又飞。颜色很怪也异常美。65分钟时钢铁怪兽一般的喘息令人不安、惶恐，几乎要把自己的呼吸频率调整至与其同步。。96分钟时电脑杀人的戏冷静、残忍，让我简直有点无法承受。而在120-125分钟时，长达5分钟的高潮光效极其飞！！而最后的星孩令人恐惧！68年的迷幻范儿，巨屌！
"
                    2006-09-12
                ",桃桃林林,对我，这是恐怖片，源自童年对星空的恐惧，关于人类的渺小。
"
                    2008-12-27
                ",充蜜,那奄奄一息的机械生命执意要为我唱一首雏菊，有那么几秒温柔得不像话。
"
                    2014-11-10
                ",同志亦凡人中文站,牺牲了部分叙事节奏，但构筑起来的完整世界让人目瞪口呆。我觉得我要暴走了：这怎么可能是1968年的电影！！！这怎么可能是1968年的电影！！！它反科学反伦理啊！！！
