"
                    2017-01-11
                ",赫恩曼尼,"加缪说：“人生的意义，在于承担人生无意义的勇气。如果你一直在找人生的意义，你永远不会生活。”自勉。To see the world, things dangerous to come to. To see behind walls, to draw closer. To find each other and to feel. That is the purpose of life."
"
                    2014-01-19
                ",仙剑风晨,在片中《LIFE》杂志闭刊号封面出现的那一刻，我完全被击穿了。
"
                    2014-01-25
                ",我是大皮哥,喜剧片中将大自然风景拍得最美的、风景片中拍得最富喜剧感的、会拍风景的喜剧片中配乐最燃最激昂的、风景好配乐佳的喜剧片中预告片剪得最热血沸腾的。自导自演的本·斯蒂勒交出了一份令人满意的答卷，用标志性的冷面滑稽演绎了一部献给所有有过白日梦的观众的心灵鸡汤。Stop Dreaming & Start Living
"
                    2014-01-14
                ",荔枝超人,不是心灵鸡汤，是我等老男人非常受用的心灵老鸭汤。
"
                    2013-12-03
                ",[已注销],一万颗星。 Film of the year.
"
                    2014-01-06
                ",林子要好好学习,其实早就想到25号底片大概是什么了。预告片准确给到了全片精华，正片反而是收着来的，西恩·潘的点睛之笔看到热泪盈眶，可以说Ben作为导演不够商业甚至专业，但本片对生活本质的触碰却异常深刻，况且风景和原声也值回票价了……stop dreaming，start living，喊口号的有很多，能真正做到的又有多少呢
"
                    2016-02-15
                ",铎奇,"boring shit. couldn't stand it and had to skip to the last minute after 10 minutes, and guess what, the ""last minute"" was boring as hell, too."
"
                    2014-06-28
                ",福娃迎迎,如果你见过格陵兰，喜马拉雅和冰岛的火山，就再不会被生活打败。
"
                    2014-11-02
                ",影志,“认识世界，克服困难。洞悉所有，贴近生活。寻找真爱，感受彼此。这就是生活的意义”、“美好的东西从来不会寻求关注”上一部本·斯蒂勒自导自演还是08年《热带惊雷》，没想这部竟来了个如此大的转变与惊喜，走走停停，简单生活。“如果我很喜欢某个瞬间，只想享受在那一刻。Stay in it. Right here”
"
                    2014-04-25
                ",陈哈,美好从来不主动寻求关注。
"
                    2014-03-29
                ",汤姆的100t大锤,风景片，对了请问，格陵兰真的只有八个人吗
"
                    2014-01-07
                ",憨大仁,是时候让梦想照进现实了
"
                    2014-04-10
                ",黄青蕉,有没有十颗星可以给！本斯蒂勒都成精了，Space Oddity那段不知道为什么看一次哭一次，可能是卢瑟的脑波正好对上了的关系吧
"
                    2014-02-02
                ",张小北,每个人都想突破自己的平淡生活，成就不凡冒险。不是每个人都有机会完成生命中的精彩，但有一种电影能让我们有那么片刻的怅然所失。
"
                    2014-05-01
                ",自由极光,在香港看的，跟一个很喜欢的人，现在想起这个片子就很幸福。
"
                    2014-07-28
                ",张维托,看完想去冰岛玩滑板
"
                    2014-04-05
                ",HaGaU,能让人思考人生方向的电影就是好电影！
"
                    2015-01-10
                ",巴伐利亞酒神,给这片子挑毛病的话，那真是没法挑。因为到处是窟窿，到处都是硬伤，到处都是现实中几乎不可能发生的事情。但还是打五星因为喜欢啊，因为这就是表达内心任性的时刻嘛！画面好看，音乐好听，而且燃啊！真他妈的燃！PS：电影中出现的格陵兰冰岛喜马拉雅山竟然都是在冰岛取景的。
"
                    2014-01-15
                ",齐木楠雄的山鸡,治愈老鸭汤，在我们忙于事业等等看上去很重要的东西的时候，还记不记得心里有过一片属于自己的白日梦乐土？寻找遗失的底片的过程也是寻找遗失的美好的过程，看完全片好像听老朋友娓娓道来了一个平淡却动人的故事，看完也明白地心引力，少年派为什么要减少剧情，因为人生没有那么多drama，韦格好美！
"
                    2014-01-13
                ",私享史,"歌曲和原声俱佳，片头字幕有趣。特别喜欢肖恩潘的那句台词：“Sometimes I don't. If I like a moment, for me, personally, I don't like to have the distraction of the camera. I just want to stay in it.”送给所有在博物馆里只顾着拿长枪短炮咔嚓咔嚓而忘了用自己的眼睛去欣赏的人【UA太古城】"
"
                    2014-09-16
                ",内陆飞鱼,《白日梦想家》下了一直没动，今晚点开就停不下来了，原来这么好玩，傻乎乎，浪漫漫，具有公路电影痕迹的轻松小品，心态非常好，音乐美、风光美，越看越舒服，最喜冰岛那一段，爱看《科学睡眠》《大鱼》这类电影的人，都去看吧。啥时候我们才能拍出这种毫无心机，脑力激荡，纯玩纯幻想的片子。
"
                    2014-01-02
                ",陀螺凡达可,这种构想也只适合拍部短片，浅显幼稚的心灵鸡汤，激昂配乐+绝美风景就像尼康广告一样具有煽动性和迷惑性，本·斯蒂勒不是冷面而是面瘫。
"
                    2016-10-03
                ",大島,只想要no25的原片
"
                    2014-03-26
                ",桃桃林林,还是前部分更有趣，大玩脑内小剧场，估计很多爱做白日梦的人都有这种体验吧。不过这个主题最终转向了必须走出去，just do it这种。世界风景无限好，宅男啥也干不了。太鸡汤，也太浅了
"
                    2014-04-11
                ",A-sun*,好好看！电影从表面上来看，是对纸媒文化的衰败默哀，实则却是悼念着正在消失的记者精神。为了拍火山爆发而把双脚绑在飞机翼，为了拍雪豹而在雪山装成一块岩石…这些都是不复再的记者精神。年度五星推荐😭😭😭
"
                    2014-07-05
                ",fomalhaut,本片其实讲的是一个胶片摄影师和底片处理师之间深厚的基情。
"
                    2014-01-12
                ",lowdive,三星半。配乐和摄影很棒。多半颗给肖恩.潘的那句“Beautiful things do not ask for attentions”，与所有喜欢摄影的人共勉。
"
                    2014-08-05
                ",朝暮雪,梦想家是谁？林志颖吗？2014.8.5克拉斯诺亚尔斯克
"
                    2013-12-29
                ",皮革业,Ben Stiller越来越小清新，这部已经开始治愈系了，背景竟然是传统媒体转型。 在影院里第一次听Space Oddity，大感动，加一颗星。
"
                    2014-02-06
                ",喻鸣,平时特反感旅行鸡汤和心灵鸡汤，一放到电影里却非常受用。旅行和做梦虽然不能直接解决生活难题，却给予我们直面它的心情与勇气。就像微博鸡汤说的：不去旅行不去冒险不去尝试没试过的生活， 只每天挂QQ刷微博逛淘宝， 干着80岁都能做的事…要青春有毛用。故事有活力，歌曲好听。
"
                    2014-01-31
                ",彭萦,Remind me of a lot of beautiful things I haven't done... Thank you.
"
                    2013-12-29
                ",焚紙樓,「環繞半個地球才學到的收穫就藏在家裡的錢包，只是你沒注意罷了。」一巴掌打爛所有自以為尋夢的造作人。
"
                    2014-08-15
                ",恶魔的步调,现实与幻想转场一瞬间联想到今 敏
"
                    2015-02-03
                ",Su,Beautiful thing don't ask for attraction.
