"
                    2010-12-20
                ",XU,舞台上那段黑天鹅太惊艳了！！！！！！Natalie这牛逼演技！！！！！！
"
                    2010-12-12
                ",sabretooth,不配5星，至少20星。
"
                    2010-12-12
                ",Lou Lou,那一颗星星是被吓掉的
"
                    2010-12-22
                ",Q。,“我感受到了，感到了……完美。”一段用走火入魔来成就的完美，亦真亦假、亦实亦幻。影片从始至终都弥漫着黑暗的色调，很惊悚，很压抑，无论配乐还是摄影都极其吸引观众。娜塔莉·波特曼颠覆以往，奉献了一场精彩的演出。★★★★★
"
                    2010-12-04
                ",晚晚,在离成功还差一步之遥的时候请不要丧心病狂
"
                    2010-12-21
                ",Hao,完美主义的确是一种失败的人格学说，直接导致走火入魔丧心病狂。Portman演得好用力，看得我心里发毛。假如她凭此片拿小金人的话，不为过。
"
                    2010-12-22
                ",Doublebitch,其实没想象中精彩，精神分裂的表现力度不太够，手法也比较陈旧，差出fight club几个档次，大半夜的愣是没让我有一丁点紧张或局促的感官反应。反倒是配乐和Natalie的精彩表演收服了我，整部电影在交响乐的烘托下活像一出慷慨悲壮的天鹅舞剧，Natalie美翻了
"
                    2010-12-21
                ",城南草木生,好看到呛着人，波特曼就是一直被过于标致的容貌给拖累的公主，这是要飞起来了，看到干巴成那样五官依然标致的前公主薇诺娜赖德又出来跑龙套好心酸
"
                    2010-12-22
                ",jumbu,"旧酒无味，但新瓶子很美。
"
"
                    2010-12-21
                ",桃桃林林,镜子用多了，想不精神分裂都难。故事基本就是天鹅湖的变奏，与《摔跤手》一样的手持摄影，却少了摔跤手的写实风，多了些超现实的感觉与舞台味。女主、摄影、配乐、女配都很有实力。波特曼，好运！
"
                    2010-12-22
                ",不流ᝰ雾岛夜随,娜塔莉·波特曼的演技啊！达伦·阿罗诺夫斯基的黑暗啊！
"
                    2010-12-25
                ",亵渎电影,简直就是诠释演员如何成为体验派，影片太完美了！★★★★
"
                    2010-12-20
                ",黄妖柒,有点无聊 教育我们不要逼自己太紧
"
                    2010-12-25
                ",琦殿,配角姑娘美到死。
"
                    2010-12-22
                ",[已注销],這部電影真酷！ Natalie Portman太棒了...好幾幕看得我眼淚都快出來了太難過了嗚嗚嗚~~
"
                    2010-12-27
                ",胡子（胡续冬）,做三好学生不容易啊！
"
                    2010-12-25
                ",影志,娜塔丽的独角戏，只是表演太过饱和。优雅的芭蕾舞成全了全片的观赏性，娜塔丽的表演撑起了剧情发展，没有牛逼起来的黑天鹅留下一点遗憾。
"
                    2010-12-16
                ",小椅子,AMAZING.
"
                    2010-12-21
                ",sasasasa,演的太像戏，拍的很刻意，惊你妹悚啊
"
                    2010-12-22
                ",TM,娜塔莉的表演是白天鹅式的，不是黑天鹅。
